name,address,office_phone,home_phone,website,zipcode,total_population,median_income,pop_18_30
"Livingston Creek Farmers Harvest, LLC","49 Harvest Circle Bolton, NC 28423 COLUMBUS County",(910) 655-4333,,http://www.Livingstoncreek.com,28423,2421.0,40734.0,342.0
Locust Farmers? Market,"186 Ray Kennedy Drive Locust, NC 28097 CABARRUS County",(704) 888-5260,,http://locustnc.com,28097,6078.0,54505.0,770.0
Madison County Farmers and Artisans Market,"Hwy 213 Mars Hill Mars Hill, NC 28754 Madison County",(828) 649-2411,,,28754,10290.0,47477.0,2251.0
Maggie Valley Farmers Tailgate Market,"2701 Soco Road Maggie Valley, NC 28751 Haywood County",(828) 926-1686,,,28751,3473.0,50739.0,320.0
Manteo Farmers Market,"106 Fernando Street Manteo, NC 27954 DARE County",(252) 473-2133,,,27954,7938.0,51368.0,1027.0
Marion Tailgate Market,"67 W. Henderson Street Marion, NC 28752 MCDOWELL County",(828) 652-2215,,http://https://www.facebook.com/Marion-Tailgate-Market-230886653656751/?ref=hl,28752,30924.0,45339.0,4266.0
Market Square Farmer's Market,"303 S. Scales Street Reidsville, NC 27320 ROCKINGHAM County",(336) 349-1099,,http://www.ci.reidsville.nc.us,27320,38997.0,43017.0,5526.0
Martin County Farmer's Market,"4001 W. Main Street Ext. Williamston, NC 27892 Martin County",(252) 789-4370,,,27892,14217.0,41466.0,1942.0
Matthews Community Farmers' Market,"188 N. Trade Street Matthews, NC 28105 Mecklenburg County",(704) 488-4763,,http://www.matthewsfarmersmarket.com,28105,46180.0,78620.0,6891.0
Mebane Farmers Market,"Corner of Third & Clay Street Mebane, NC 27302 Alamance County",(919) 563-3555,,http://www.downtownmebane.com,27302,31280.0,62517.0,4083.0
Meeting Street Farmers Market,"252 Williamson Road Mooresville, NC 28117 IREDELL County",(704) 714-3088,,http://www.meetingstreetmarket.com,28117,40855.0,89189.0,5331.0
Midtown Farmers' Market,"4150 Main at North Hills Street Raleigh, NC 27609 Wake County |",,,http://midtownraleighfarmersmarket.com,27609,33575.0,62536.0,5350.0
Mills River Farmer's Market,"G&B Energy Plaza 5046 Boyleston Hwy Mills River , NC 28759 HENDERSON County",,,,28759,7456.0,66486.0,909.0
Mint Hill Farmers Market,"7601 Matthews Mint Hill Road Mint Hill, NC 28227 Mecklenburg County",(704) 545-3999,,http://www.minthillhistory.com/market.htm,28227,57336.0,59438.0,9169.0
Moore County Farmers Market,"PO Box 1149 Carthage, NC 28327 Moore County",(910) 947-3752,,,28327,17013.0,58261.0,2211.0
Morehead City Curb Market,"1300 Evans Street Morehead City, NC 28557 CARTERET County",(252) 222-6359,,http://carteret.ces.ncsu.edu/,28557,15298.0,55109.0,1780.0
Morganton Farmers Market,"300 Beach Street Morganton, NC 28655 BURKE County",(828) 438-5252,,http://www.downtownmorganton.com,28655,55009.0,43795.0,8206.0
Mount Airy Farmers' Market,"111 S. Main Street Mount Airy, NC 27030 SURRY County",(336) 401-8025,,,27030,35575.0,40723.0,5041.0
Mount Holly Farmers Market,"130 South Main Street Mount Holly, NC 28120 GASTON County",(704) 372-8666,(704) 822-0041,http://www.mounthollyfarmersmarket.com,28120,21582.0,61680.0,3354.0
Muffresboro Farm Market,"117 E. Main St. Muffresboro, NC 27855 HERTFORD County",,(757) 323-8807,http://www.mainstreetmurfreesboro.org/saturday-market/,27855,6066.0,37005.0,1449.0
Murchison Road Community Farmers Market,"1047 Murchison Road Fayetteville, NC 28301 CUMBERLAND County",(910) 672-2413,,,28301,16929.0,26667.0,3883.0
Nashville Farmers Market,"723 S Barnes Street Nashville, NC 27856 NASH County",(252) 532-9591,,http://www.townofnashville.com/our-town/farmers-market,27856,17258.0,59175.0,2573.0
New Bern Craven County Farmers Market,"421 South Front Street New Bern, NC 28560 Craven County",(252) 633-0043,,http://www.newbernfarmersmarket.org,28560,27458.0,48134.0,3859.0
Newell Farms Market,"1704 Rocky River Road Charlotte, NC 28213 MECKLENBURG County",(704) 578-1415,,http://www.newellfarmersmarket.com,28213,43099.0,45808.0,9534.0
North Asheville Tailgate Market,"88 Merrell Road Leicester, NC 28748 Buncombe County",(828) 648-3804,(828) 254-6199,,28748,12606.0,45164.0,1943.0
North End Farmers Market,"1701 N Graham Street Charlotte , NC 28206 MECKLENBURG County |",,,http://northendmarketclt.com,28206,12036.0,32232.0,2506.0
North Mecklenburg Farmers Market,"18121 Old Statesville Road Cornelius, NC 28031 Mecklenburg County",(704) 336-2561,,,18121,,,
North Raleigh Farmers Market,"1145 Falls River Avenue Raleigh, NC 27614 WAKE County",(919) 322-8166,,http://www.northraleighfarmersmarket.com,27614,32849.0,112500.0,3688.0
North Star Farmers Market,"PO Box 243 Ruffin, NC 27326 Rockingham County",(336) 939-3292,,,27326,2900.0,44909.0,270.0
Oakley Farmers Market,"607 Fairview Road Asheville, NC 28803 BUNCOMBE County",(828) 505-3079,,http://oakleyfarmersmarket.com,28803,34491.0,53023.0,5247.0
OBX Farmer's Market,"2424 S Croatan Hwy Nags Head, NC 27959 DARE County",(252) 480-5779,,,27959,2938.0,65565.0,255.0
Old Salem Cobblestone Farmers Market,"626 S. Main Street Winston Salem, NC 27101 FORSYTH County",,,,27101,19713.0,34477.0,4302.0
Olde Beaufort Farmers' Market,"300 Courthouse Square Beaufort, NC 28516 CARTERET County",(252) 564-8822,,http://beaufortfarmersmarket.com,28516,11455.0,50354.0,1415.0
Onslow County Farmers Market,"4024 Richlands Hwy Jacksonville, NC 28540 Onslow County",(910) 455-5873,,,28540,49144.0,48559.0,12425.0
Oxford Farmers Market,"6200 Hwy 96 Oxford, NC 27565 Granville County",,,,27565,25127.0,47295.0,3469.0
Pamlico County Farmers Market,"10628 NC 55 Hwy Grantsboro, NC 28529 PAMLICO County",(252) 745-1573,,http://pamlicohistory.com/farmers_market.html,10628,,,
Person County Community Market,"211 N. Main Street Roxboro, NC 27573 Person County",,,,27573,11391.0,35405.0,1539.0
Person County Farmers Market,"601 N. Madison Blvd. Roxboro, NC 27573 PERSON County",(336) 599-1195,,http://www.personcountyfarmersmarket.com,27573,11391.0,35405.0,1539.0
"Piedmont Farmers' Market, Inc.","518 Winecoff School Road Concord, NC 28027 Cabarrus County",(704) 208-0215,,http://www.facebook.com/piedmontfarmersmarket,28027,68716.0,76776.0,9239.0
Piedmont Triad Farmers Market,"2914 Sandy Ridge Road Colfax, NC 27235 Guilford County",(336) 605-9157,,http://www.triadfarmersmarket.com,27235,4443.0,95625.0,428.0
Pinehurst   Sandhills Farmers Green Market,"1 Village Green Road West Pinehurst, NC 28374 MOORE County |",,,http://sandhillsfarmersmarket.com,28374,17347.0,83408.0,925.0
Pittsboro Farmers Market,"Chatham County Fairgrounds Pittsboro, NC 27312 Chatham County",(919) 542-8202,(919) 542-6465,http://www.pittsborfarmersmarket.org,27312,20508.0,74698.0,2088.0
Plantation Point Farmers Market,"6250 Plantation Center Drive Raleigh , NC 27616 WAKE County",(760) 743-1795,,http://www.plantationpointfarmersmarket.com,27616,55128.0,70533.0,9144.0
Polk Tailgate Market,"Courthouse Street Columbus, NC 28722 Polk County",(828) 894-8550,,,28722,6537.0,46672.0,687.0
Poplar Grove Farmers Market,"10200 US Hwy 17 Wilmington, NC 28411 PENDER County",(910) 686-9518,,http://www.poplargrove.com,10200,,,
Produce & Play/Down East Partnership for Children,"215 Lexington Street Rocky Mount, NC 27802 EDGECOMBE County",(252) 985-4300,,http://www.depc.org,27802,,,
Raleigh Downtown Farmers Market,"400 Fayetteville Street (City Plaza) Raleigh, NC 27601 Wake County",(919) 821-6979,,http://www.raleigheatlocal.com,27601,10525.0,51281.0,3344.0
Red Barn Market,"Hwy 158 Murfreesboro, NC 27855 HERTFORD County |",,,http://www.redbarnmarketnc.com,27855,6066.0,37005.0,1449.0
"Richmond County Farmers Market, Inc.","PO Box 1358 Rockingham, NC 28380 Richmond County",,,,28380,,,
Riverfront Farmers Market,"116 Dock St. Wilmington, NC 28401 NEW HANOVER County |",,,http://www.riverfrontfarmersmarket.org,28401,24656.0,33741.0,4426.0
Roanoke Valley Farmers Market,"PO Box 37 Halifax, NC 27839 Halifax County",(252) 583-5161,,,27839,3479.0,31439.0,484.0
Robeson County Farmers Market,"PO Box 2280 Lumberton, NC 28359 Robeson County",(910) 671-3276,,,28359,,,
Rocky Mount Farmers Market,"1006 Peachtree Street Rocky Mount, NC 27804 Nash County",(252) 407-7920,,http://www.co.nash.nc.us/rockymountfarmersmarket,27804,29519.0,51676.0,4693.0
Rotary Farmers Market,"E. Sharpe Street Statesville, NC 28677 Iredell County",(704) 873-6457,,,28677,34703.0,45573.0,4867.0
Rutherford County Farmers Market,"PO Box 272 Rutherford, NC 28139 Rutherford County",(828) 287-6010,(828) 287-6080,,28139,20467.0,47138.0,2645.0
Salisbury-Rowan County Farmers Market,"115 S. Jackson Street Salisbury, NC 28155 Rowan County",(704) 267-6061,,http://www.salisburyrowanfarmersmarket.com,28155,,,
Sampson County Farmers Market,"215 Lisbon Street Clinton, NC 28328 SAMPSON County",(910) 594-1277,,,28328,27372.0,37234.0,3949.0
Sandhills Farmers Market of Spring Lake,"230 Chapel Hill Road Spring Lake, NC 28390 CUMBERLAND County",(910) 436-3406,,http://www.sandhillsfamilyheritage.org,28390,24768.0,48209.0,5641.0
Sanford Farmers Market,"2420 Tramway Road Sanford, NC 27330 Lee County |",,,http://sanfordfarmersmarket.weebly.com,27330,40121.0,50947.0,5727.0
Shacktown Farmers' Market at Billet-Doux Farm,"2816 Shacktown Road Yadkinville, NC 27055 Yadkin County",(336) 391-8459,,http://www.shacktownnc.com,27055,13145.0,46610.0,1530.0
Shallotte Farmers Market,"123 Mulberry Street Shallotte, NC 28470 Brunswick County",(910) 754-4032,,http://www.townofshallotte.org,28470,12812.0,49238.0,1685.0
South Durham Farmers' Market,"5410 NC Hwy 55 Durham, NC 27713 DURHAM County |",,,http://www.southdurhamfarmersmarket.org,27713,54348.0,75050.0,9542.0
South Elm Urban Market,"336 South Elm Street Greensboro, NC 27401 GUILFORD County |",,,http://www.southelmurbanmarket.com,27401,23388.0,34274.0,9129.0
South End Farmers Market,"2000 South Blvd Charlotte , NC 28203 MECKLENBURG County |",,,http://southendmkt.com/,28203,16655.0,88039.0,5541.0
Southern Village Farmers Market,"Aberdeen Drive Chapel Hill, NC 27516 Orange County",(919) 619-3387,,http://www.southernvillagefarmersmarket.com,27516,43036.0,84783.0,10135.0
Southport Waterfront Market,"Downtown Southport Southport, NC 28461 Brunswick County",(910) 279-4616,,http://www.downtownsouthport.org,28461,20506.0,64601.0,1575.0
Spring Run Market,"3701 Charles Blvd, Suite 104 Greenville, NC 27858 PITT County",(252) 321-7325,,http://www.springrunmarket.com,27858,59182.0,46652.0,24669.0
Stanly Commons Farmers Market,"1000 N. First Street Albemarle, NC 28001 STANLY County",(704) 986-3018,,,28001,26557.0,49205.0,3766.0
Stanly County Farmers Market,"100 Railroad Street Albemarle, NC 28001 Stanly County",(704) 984-9415,,,28001,26557.0,49205.0,3766.0
State Farmers Market,"1201 Agriculture Street Raleigh, NC 27603 Wake County",(919) 733-7417,,http://www.ncdamarkets.org,27603,54457.0,68851.0,13554.0
Statesville Rotary Farmers Market,"East Sharpe Street Statesville, NC 28677 Iredell County",(704) 878-4371,,,28677,34703.0,45573.0,4867.0
Stokes Farmers Market,"446 South Main Street King, NC 27021 STOKES County",(336) 994-2604,,,27021,17489.0,53466.0,2303.0
Stokes Future Farmers' Market,"1790 Hanging Rock Park Road Danbury, NC  27016 STOKES County",,,,27016,1339.0,46250.0,200.0
Tarboro-Edgecombe Farmers Market,"Church & Albemarle Tarboro, NC 27886 Edgecombe County",(252) 641-7819,,http://http://edgecombe.ces.ncsu.edu/index.php?page=home,27886,20280.0,36786.0,2810.0
The Bolivia Brief Farmers Market,"30 Government Center Drive NE Bolivia, NC 28422 BRUNSWICK County",(910) 253-2610,,http://theboliviabrieffarmersmarket.blogspot.com,28422,8116.0,54685.0,1035.0
The Corner Market,"2200 Walker Avenue Greensboro, NC 27405 GUILFORD County",(336) 669-5083,(336) 543-4144,http://www.cornermarketgso.com,27405,48879.0,37528.0,7407.0
The Dirtbag Ales Farmers Market,"Dirtbag Ales, 5423 Corporation Street Hope Mills, NC 28348 CUMBERLAND County",,,,28348,35721.0,55810.0,5564.0
The Dowtown Rolesville Farmers Market,"302 S Main Street Rolesville, NC 27571 WAKE County",(919) 426-2223,,http://www.downtownrolesvillefarmersmarket.com,27571,7407.0,118558.0,257.0
The Jamestown Market,"113 Main Street Jamestown, NC 27283 GUILFORD County",,,,27283,3194.0,59102.0,467.0
The Leroy James Farmers Market,"4560 County Home Road Greenville, NC 27834 Pitt County",(252) 355-7612,(252) 902-1709,,27834,57258.0,39042.0,12931.0
The Market at Carolina's,"209 N. Railroad Street Warsaw, NC 28398 DUPLIN County",(910) 293-2664,,http://www.carolinasupscaleresale.com,28398,8296.0,35635.0,1318.0
The Market at Missing Mill,"Missing Mill Park, Grubb Street Hertford, NC 27944 PERQUIMANS County |",,,http://www.historichertfordinc.org,27944,11756.0,48052.0,1070.0
The Uptown Umbrella Market,"Five Points Plaza, 5th & Evans Street Greenville, NC 27858 PITT County |",,,http://www.uptowngreenville.com,27858,59182.0,46652.0,24669.0
The Urban Farmer's Market,"204 W. Ruffin Street Mebane, NC 27302 ALAMANCE County",(919) 219-1109,,,27302,31280.0,62517.0,4083.0
The Waterfront Market at OIB,"Town Center 8 East 2nd Street Ocean Isle Beach , NC 28469 BRUNSWICK County",(910) 370-1373,,http://www.thewaterfrontmarkets.com,28469,6094.0,70326.0,364.0
The Waterfront Market at Sunset Beach,"206 Sunset Blvd N Sunset Beach, NC 28468 BRUNSWICK County",(910) 370-1373,,http://www.thewaterfrontmarkets.com,28468,5235.0,55574.0,328.0
Thomasville Farmers Market,"21 East Guilford Street Thomasville, NC 27360 Davidson County",(335) 472-1258,,,27360,45974.0,46415.0,5933.0
Town of Candor Farmers Market,"Hwy 211 Candor, NC 27229 Montgomery County",(910) 974-4221,,,27229,3484.0,40599.0,823.0
Town Of Gibsonville,"Main Street Gibsonville, NC 27249 GUILFORD County",(336) 449-7241,(336) 449-4144,http://www.gibsonville.net,27249,11882.0,56213.0,1710.0
Town of Huntersville Farmers Market,"103 Maxwell Street Huntersville, NC 28078 MECKLENBURG County",(704) 766-2220,(704) 766-2253,http://www.huntersville.org,28078,61043.0,100980.0,6858.0
Town of Mocksville,"171 Clement Street Mocksville, NC 27028 DAVIE County",(336) 753-6705,,http://mocksvillenc.org,27028,26465.0,50399.0,3543.0
Town of Oak Island,"4601 East Oak Island Drive Oak Island, NC 28465 BRUNSWICK County",(910) 278-5518,,,28465,7432.0,73299.0,598.0
Town of Pleasant Garden,"4920 Alliance Church Road Pleasant Garden, NC 27313 GUILFORD County",(336) 674-3002,,http://www.pleasantgarden.net,27313,6733.0,65408.0,593.0
Town of Wilkesboro,"102 West Main Street Wilkesboro, NC 28697 WILKES County",(336) 838-3951,,http://www.facebook.com/wilkesboroopenairmarket,28697,13833.0,50713.0,1892.0
Transylvania County Tailgate Market,"Corner of Johnson & Jordan Street Brevard, NC 28712 Transylvania County",(828) 877-3796,,,28712,19847.0,47798.0,2621.0
Troutman Farmer's Market,"338 N. Avenue Troutman, NC 28166 none County",(704) 528-7600,,,28166,9651.0,61574.0,1364.0
Troy Farmers' Market,"417 North Main Street Troy, NC 27321 MONTGOMERY County",(910) 576-6011,,http://mcfma.org,27321,,,
Union County Farmers Market,"805 Skyway Drive Monroe, NC 28112 Union County",(704) 283-3626,,,28112,26831.0,54302.0,3963.0
Unique Farmers Market,"3731 Centurion Drive Garner, NC 27529 WAKE County",(919) 779-5600,,http://www.uniquefoodcompany.com,27529,50683.0,64929.0,7696.0
University City Farmers Market,"6010 Jasmine Lane Charlotte , NC 28262 MECKLENBURG County |",,,http://univcitymarket.org,28262,43209.0,53859.0,16972.0
Uptown Farmers Market,"300 S. Davidson Street Charlotte, NC 28202 MECKLENBURG County",,,,28202,13498.0,92786.0,5361.0
Uptown Wadesboro Farmer's Market,"107 E. Wade Street Wadesboro, NC 28170 ANSON County",(704) 695-1644,,http://www.ansonedc.org,28170,11187.0,32297.0,2009.0
Valdese Farmer's Market,"Faet St. Valdese, NC 28690 BURKE County",(828) 439-4460,,,28690,9189.0,48704.0,1398.0
Vance County Regional Farmers Market,"210 Southpark Drive Henderson, NC 27536 VANCE County",(252) 598-0814,,,27536,16522.0,30960.0,3081.0
Wake Forest Farmers Market,"405 S. Brooks Street Wake Forest, NC 27587 Wake County",(919) 671-9269,(919) 556-1579,http://www.wakeforestmarket.org,27587,68491.0,96588.0,7636.0
Warren County Farmers Market,"Corner of Market and Main Street Warrenton, NC 27589 WARREN County",(252) 257-3640,,http://warren.ces.ncsu.edu,27589,7938.0,33472.0,1216.0
Washington County Farmers Market,"PO Box 70 Plymouth, NC 27962 Washington County",(252) 793-2163,,,27962,7696.0,35423.0,1395.0
Watauga County Farmers' Market,"PO Box 2177 Boone, NC 28607 WATAUGA County",(828) 297-1914,,http://www.wataugacountyfarmersmarket.org,28607,36550.0,43728.0,17058.0
Waverly Place Farmers' Market,"Waverly Place Cary, NC 27518 WAKE County |",,,http://www.waverlyfm.com,27518,20102.0,106721.0,2098.0
Waxhaw Farmers' Market,"PO Box 343 Waxhaw, NC 28173 Union County",(704) 764-8948,,http://www.waxhawfarmersmarket.com,28173,59559.0,125591.0,6014.0
Waynesville Tailgate Market,"136 Lunar Trace Waynesville, NC 28786 Haywood County",(828) 456-3517,,,28786,21004.0,50406.0,2170.0
Wendell Farmers' Market,"3rd & Cypress Street Wendell, NC 27591 WAKE County |",,,http://www.wendellchamber.com,27591,20562.0,62577.0,2555.0
Western Rockingham Farmers Market,"898 Ayersville Road Mayodan, NC 27027 ROCKINGHAM County",(336) 427-0241,,http://townofmayodan.com,27027,4190.0,32075.0,488.0
Western Wake Farmers' Market,"1226 Morrisville Carpenter Road Cary, NC 27519 Wake County",,(540) 230-6697,http://www.westernwakefarmersmarket.org,27519,56482.0,133227.0,4043.0
Wilkes County Farmers' Market,"200 Chestnut Street North Wilkesboro, NC 28659 Wilkes County",(336) 667-7129,,,28659,21457.0,38368.0,3068.0
Wilmington Farmers Market,"5329 Oleander Dr. Wilmington, NC 28403 none County |",,,http://www.thewilmingtonfarmersmarket.com,28403,41525.0,39744.0,16241.0
Wilson County Farmers Market,"5229 Creech Road Lucama, NC 27851 Wilson County",(252) 239-1583,,,27851,5458.0,46935.0,745.0
Wilson Farmers Market,"2331 US 301 S Wilson, NC 27893 Wilson County",(252) 237-0111,,http://wilson.ces.ncsu.edu/content/wilsonfarmersmarket,27893,39531.0,34006.0,6370.0
Winston Salem Retail Farmers Market,"PO Box 7525 Winston Salem, NC 27109 Forsyth County",(336) 727-2236,,,27109,2661.0,-666666666.0,2641.0
Winton Farmers Market,"205 South Main Street Winton, NC 27986 HERTFORD County |",,,http://sites.google.com/a/ncsu.edu/wintonncfarmersmarket/,27986,2362.0,37778.0,318.0
WNC Farmers Market,"570 Brevard Road Asheville, NC 28806 Buncombe County",(828) 253-1691,,http://www.ncdamarkets.org,28806,43597.0,49169.0,7430.0
Wrightsville Beach Farmers' Market,"321 Causeway Drive Wrightsville Beach, NC 28480 NEW HANOVER County",(910) 256-7925,,http://www.townofwrightsvillebeach.com,28480,2599.0,108684.0,601.0
Yadkin Farmers Market,"1141 Tennessee Street Yadkinville, NC 27055 YADKIN County",,,,27055,13145.0,46610.0,1530.0
Yancey County Farmers Market,"10 Orchard Street Burnsville, NC 28714 Yancey County",(828) 682-6186,,,28714,16941.0,42672.0,2052.0
Zebulon Farm Fresh Market,"101 N Arendell Avenue Zebulon, NC 27597 WAKE County",(919) 823-1817,,http://www.townofzebulon.org/departments/parks-and-recreation/farm-fresh-market,27597,24691.0,58948.0,3004.0
